שם השדה,מזהה,ערך 2025,ערך 2026,הפרש,אחוז שינוי
קצבה בסיסית ליחיד,BASIC_PENSION_SINGLE,1795,1838,43,2.40%
קצבה בסיסית ליחיד מגיל 80,BASIC_PENSION_SINGLE_80,1896,1941,45,2.37%
קצבת זוגות,BASIC_PENSION_COUPLE,2697,2762,65,2.41%
יחיד + ילד,BASIC_PENSION_COUPLE_1_CHILD,2363,2419,56,2.37%
יחיד + 2 ילדים,BASIC_PENSION_COUPLE_2_CHILDREN,2834,2874,40,1.41%
זוג + ילד,BASIC_PENSION_COUPLE_PLUS_1,3265,3343,78,2.39%
זוג + 2 ילדים,BASIC_PENSION_COUPLE_PLUS_2,3833,3924,91,2.37%
תוספת בן/בת זוג (ילד שאיר),SPOUSE_SUPPLEMENT,842,924,82,9.74%
קצבת שאירים - אלמן/ה,SURVIVOR_PENSION_SINGLE,1795,1838,43,2.40%
קצבת שאירים - ילד שאיר בודד,SURVIVOR_PENSION_CHILD,1115,1142,27,2.42%
קצבת שאירים - אלמן/ה/צעיר/ה,SURVIVOR_PENSION_WIDOW_CHILD,1348,1381,33,2.45%
קצבת שאירים מגיל 80,SURVIVOR_PENSION_80,1896,1941,45,2.37%
דמי מחיה - 6.5%,LIVING_ALLOWANCE_6_5,667,683,16,2.40%
דמי מחיה - 9%,LIVING_ALLOWANCE_9,924,946,22,2.38%
הכנסה מותרת לצורך דמי מחיה,ALLOWANCE_PAYMENT_SINGLE,15180,15696,516,3.40%
תוספת לכל ילד נוסף,ALLOWANCE_PER_CHILD_EXTRA,932,964,32,3.43%
השלמת הכנסה עד גיל 70 - יחיד,INCOME_SUPPLEMENT_SINGLE_UNDER70,4273,4375,102,2.39%
השלמת הכנסה עד גיל 70 - זוג,INCOME_SUPPLEMENT_COUPLE_UNDER70,6751,6912,161,2.38%
השלמת הכנסה עד גיל 70 - יחיד + ילד,INCOME_SUPPLEMENT_SINGLE_1_CHILD_UNDER70,,7305,חדש,חדש
השלמת הכנסה עד גיל 70 - יחיד + 2 ילדים,INCOME_SUPPLEMENT_SINGLE_2_CHILDREN_UNDER70,,8426,חדש,חדש
השלמת הכנסה עד גיל 70 - זוג + ילד,INCOME_SUPPLEMENT_COUPLE_1_CHILD_UNDER70,,8035,חדש,חדש
השלמת הכנסה עד גיל 70 - זוג + 2 ילדים,INCOME_SUPPLEMENT_COUPLE_2_CHILDREN_UNDER70,,9156,חדש,חדש
השלמת הכנסה גיל 70-80 - יחיד,INCOME_SUPPLEMENT_SINGLE_70_80,,4418,חדש,חדש
השלמת הכנסה גיל 70-80 - זוג,INCOME_SUPPLEMENT_COUPLE_70_80,,6981,חדש,חדש
השלמת הכנסה גיל 70-80 - יחיד + ילד,INCOME_SUPPLEMENT_SINGLE_1_CHILD_70_80,,7374,חדש,חדש
