# קובץ נתונים מרכזי - ביטוח לאומי (BTL Constants)
קובץ זה משמש כ"מקור האמת" (Single Source of Truth) לכל הנתונים המספריים המופיעים באתר.
יש להשתמש במזהה (Key) בקוד ובקבצי התוכן כדי לשאוב את הערך העדכני מכאן.
| מזהה (ID) | שם שדה (Key) | תיאור (Description) | ערך (Value) | תאריך עדכון |
|:---:|:---|:---|:---:|:---:|
| **אזרח ותיק (זקנה)** |||||
| 1001 | `SENIOR_CITIZEN_ALLOWANCE_SINGLE` | קצבת אזרח ותיק ליחיד/ה (בסיסית) | 1,838 | 01/01/2026 |
| 1002 | `SENIOR_CITIZEN_ALLOWANCE_COUPLE` | קצבת אזרח ותיק לזוג (בסיסית) | 2,762 | 01/01/2026 |
| 1003 | `SENIOR_CITIZEN_INCOME_TEST_SINGLE` | תקרת הכנסה ליחיד (לקצבה חלקית) - גיל 62-70 | 9,208 | 01/01/2026 |
| 1004 | `SENIOR_CITIZEN_INCOME_MAX_SINGLE` | תקרת הכנסה מקסימלית ליחיד (שלילת זכאות) | 13,258 | 01/01/2026 |
| 1005 | `SENIORITY_INCREMENT_MAX_PERCENT` | תוספת ותק מקסימלית (באחוזים) | 50% | 01/01/2026 |
| 1006 | `DEFERRAL_INCREMENT_YEARLY_PERCENT` | תוספת דחיית קצבה (אחוז לשנה) | 5% | 01/01/2026 |
| **שאירים** |||||
| 2001 | `SURVIVOR_ALLOWANCE_WIDOW_40_50` | קצבת שאירים (אלמן/ה גיל 40-50, ללא ילדים) | 1,348 | 01/01/2025 |
| 2002 | `SURVIVOR_ALLOWANCE_WIDOW_50_PLUS` | קצבת שאירים (אלמן/ה גיל 50+, ללא ילדים) | 1,795 | 01/01/2025 |
| 2003 | `SURVIVOR_ALLOWANCE_ORPHAN` | קצבת שאירים (לכל יתום) | 2,230 | 01/01/2025 |
| **נכות כללית** |||||
| 3001 | `DISABILITY_ALLOWANCE_FULL_100` | קצבת נכות כללית מלאה (דרגה 100% או 75%) | 4,711 | 01/01/2026 |
| 3002 | `DISABILITY_ALLOWANCE_PARTIAL_74` | קצבת נכות כללית חלקית (דרגה 74%) | 2,236 | 01/01/2026 |
| 3003 | `DISABILITY_ALLOWANCE_PARTIAL_65` | קצבת נכות כללית חלקית (דרגה 65%) | 2,022 | 01/01/2026 |
| 3004 | `DISABILITY_ALLOWANCE_PARTIAL_60` | קצבת נכות כללית חלקית (דרגה 60%) | 1,903 | 01/01/2026 |
| 3005 | `DISABILITY_INCOME_TEST_THRESHOLD` | רף הכנסה מעבודה (נכות כללית) | 7,990 | 01/01/2025 |
| **שירותים מיוחדים (שר"מ)** |||||
| 4001 | `SPECIAL_SERVICES_ALLOWANCE_50` | קצבת שירותים מיוחדים (50%) | 1,943 | 01/01/2026 |
| 4002 | `SPECIAL_SERVICES_ALLOWANCE_112` | קצבת שירותים מיוחדים (112%) | 4,501 | 01/01/2026 |
| 4003 | `SPECIAL_SERVICES_ALLOWANCE_188` | קצבת שירותים מיוחדים (188%) | 7,181 | 01/01/2026 |
| 4004 | `SPECIAL_SERVICES_ALLOWANCE_235` | קצבת שירותים מיוחדים (235%) | 9,126 | 01/01/2026 |
| **ילדים** |||||
| 5001 | `CHILD_ALLOWANCE_FIRST` | קצבת ילדים (ילד ראשון) | 169 | 01/01/2025 |
| 5002 | `CHILD_ALLOWANCE_SECOND_FOURTH` | קצבת ילדים (ילד 2-4) | 214 | 01/01/2025 |
| 5003 | `DISABLED_CHILD_ALLOWANCE_100` | גמלת ילד נכה (100%) | 3,820 | 01/01/2026 |
| 5004 | `DISABLED_CHILD_VENTILATED_ADDITION` | תוספת לילד נכה מונשם | 10,774 | 01/01/2026 |
| **ניידות** |||||
| 6001 | `MOBILITY_ALLOWANCE_THRESHOLD_NO_CAR` | רף הכנסה לקצבת ניידות (חסר רכב, לא עובד) | 2,838 | 01/01/2026 |
| **כללי** |||||
| 9001 | `GUARANTEED_INCOME_THRESHOLD_LOW` | הבטחת הכנסה (סף תחתון משוער) | 1,400 | 01/01/2026 |
| 9002 | `GUARANTEED_INCOME_THRESHOLD_HIGH` | הבטחת הכנסה (סף עליון משוער) | 3,000 | 01/01/2026 |
| 9003 | `MATERNITY_ALLOWANCE_MAX_DAY` | דמי לידה (מקסימום ליום) | 1,711 | 01/01/2025 |
