שם נוכחי,שם מוצע,השתנה?,"אורך (ק""מ)",מעגלי?
2013-04-13_געתון_עין יעקב.gpx,2013-04-13_געתון_עין יעקב.gpx,False,4.8,True
2013-04-18_מגדל_טבריה_כפר חיטים.gpx,2013-04-18_טבריה_מגדל_כפר חיטים.gpx,True,15.3,True
2013-04-19_בר יוחאי_מירון_כפר חושן.gpx,2013-04-19_בר יוחאי_ברעם.gpx,True,3.0,True
2013-04-20_טבריה_פורייה עילית.gpx,2013-04-20_טבריה_פורייה עילית_פורייה - נווה עובד.gpx,True,14.8,True
2013-04-26_געתון_יחיעם_עין יעקב.gpx,2013-04-26_געתון_יחיעם.gpx,True,6.4,False
2013-04-27_שבי ציון_שמרת_גשר הזיו.gpx,2013-04-27_כברי_שמרת.gpx,True,22.4,False
2013-05-04_נהרייה_לימן_גשר הזיו.gpx,2013-05-04_נהרייה_כפר ראש הנקרה_סער.gpx,True,16.6,True
2013-05-11_געתון_עין יעקב.gpx,2013-05-11_יחיעם_נווה זיו_עין יעקב.gpx,True,12.7,True
2013-05-14_עין יעקב_מעונה_מעיליא.gpx,2013-05-14_יחיעם_מעונה_עין יעקב.gpx,True,13.9,True
2013-05-17_געתון_יחיעם_נהרייה.gpx,2013-05-17_יחיעם_נהרייה.gpx,True,17.9,False
2013-06-06_געתון_עין יעקב.gpx,2013-06-06_געתון_נווה זיו_יחיעם.gpx,True,9.2,False
2013-06-08_שבי ציון_געתון_כברי.gpx,2013-06-08_יחיעם_בוסתן הגליל_שמרת.gpx,True,35.8,False
2013-06-12_נהרייה_לימן_גשר הזיו.gpx,2013-06-12_נהרייה_כפר ראש הנקרה_סער.gpx,True,20.7,True
2013-06-14_געתון_נהרייה_נתיב השיירה.gpx,2013-06-14_יחיעם_נהרייה.gpx,True,20.7,False
2013-06-15_נהרייה_גשר הזיו_כפר ראש הנקרה.gpx,2013-06-15_שבי ציון_כפר ראש הנקרה_מזרעה.gpx,True,28.0,True
2013-06-19_שלומי_כברי_מצובה.gpx,2013-06-19_כברי_חניתה_מצובה.gpx,True,17.5,True
2013-06-21_געתון_נהרייה_כפר ראש הנקרה.gpx,2013-06-21_יחיעם_כפר ראש הנקרה.gpx,True,31.7,False
2013-06-25_עין יעקב_מעונה.gpx,2013-06-25_יחיעם_מעונה_עין יעקב.gpx,True,11.7,True
2013-06-26_געתון_עין יעקב.gpx,2013-06-26_יחיעם_נווה זיו_עין יעקב.gpx,True,9.5,True
2013-06-29_עין יעקב_מעיליא_הילה.gpx,2013-06-29_יחיעם_גשר הזיו.gpx,True,26.7,False
2013-07-08_עין יעקב_מעונה_געתון.gpx,2013-07-08_יחיעם_מעונה_געתון.gpx,True,21.1,True
