שם קובץ,סוג אלמנט,כמות נקודות,% נקודות עם זמן,"מרחק (ק""מ)",משך (דק'),"מהירות ממוצעת (קמ""ש)",מרווח ממוצע בין נקודות (מ'),creator,סיווג פעילות,סיווג מקור,הערות
2015-07-06 0635__20150706_0635.gpx,trk (מסלול/הקלטה),493,100.0,14.04,74.5,11.3,28.5,OruxMaps v.6.0.9,רכיבת אופניים,הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.6.0.9 ; מבוסס מהירות ממוצעת מחושבת: 11.3 קמ״ש
2015-12-03 1352__20151203_1352.gpx,trk (מסלול/הקלטה),2669,100.0,27.87,127.2,13.1,10.4,OruxMaps v.6.0.10,רכיבת אופניים,הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.6.0.10 ; מבוסס מהירות ממוצעת מחושבת: 13.1 קמ״ש
2015-12-04 0601__20151204_0601.gpx,trk (מסלול/הקלטה),8000,100.0,75.03,415.3,10.8,9.4,OruxMaps v.6.0.10,רכיבת אופניים,הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.6.0.10 ; מבוסס מהירות ממוצעת מחושבת: 10.8 קמ״ש
2016_0909_GvaotTivonNachalKisson.gpx,trk (מסלול/הקלטה),2580,100.0,31.24,345.3,5.4,12.1,CompeGPS,הליכה רגלית,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 5.4 קמ״ש
2017_0620_Yarkon_TA_RG.gpx,trk (מסלול/הקלטה),1365,100.0,16.49,133.6,7.4,12.1,CompeGPS,רכיבת אופניים,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 7.4 קמ״ש
2019-04-12-01_TIMNA1.gpx,trk (מסלול/הקלטה),2911,100.0,34.21,375.8,5.5,11.8,CompeGPS,הליכה רגלית,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 5.5 קמ״ש
2023-09-04מצובה .gpx,trk (מסלול/הקלטה),406,100.0,8.36,217.4,2.3,20.6,OruxMaps v.10.1.8 GP,הליכה רגלית,הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.10.1.8 GP ; מבוסס מהירות ממוצעת מחושבת: 2.3 קמ״ש
2023-10-03 212334__20231003_2123.gpx,trk (מסלול/הקלטה),1,100.0,0.0,0.0,,,OruxMaps v.10.1.9 GP,לא ברור,הקלטה,"creator מזהה כלי הקלטה ידוע: OruxMaps v.10.1.9 GP ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
2023-10-07 144042__20231007_1440.gpx,trk (מסלול/הקלטה),3059,100.0,218.36,1577.5,8.3,71.4,OruxMaps v.10.1.9 GP,רכיבת אופניים,הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.10.1.9 GP ; מבוסס מהירות ממוצעת מחושבת: 8.3 קמ״ש
2023-10-14 080041__20231014_0800.gpx,trk (מסלול/הקלטה),186,100.0,5.28,39.4,8.0,28.5,OruxMaps v.10.1.9 GP,רכיבת אופניים,הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.10.1.9 GP ; מבוסס מהירות ממוצעת מחושבת: 8.0 קמ״ש
