מקור,יעד,פעולה,הערה
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\Maps\מעגליסביבמקורותהירדןליוםקיץ.gpx,C:\Users\yairr\GPX_files\מעגליסביבמקורותהירדןליוםקיץ.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\Maps\סינגל בירייה ודישון.gpx,C:\Users\yairr\GPX_files\סינגל בירייה ודישון.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\Maps\מסלולי אופניים\2017_0620_Yarkon_TA_RG.gpx,C:\Users\yairr\GPX_files\2017_0620_Yarkon_TA_RG.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\Maps\מסלולי אופניים\2019-04-12-01_TIMNA1.gpx,C:\Users\yairr\GPX_files\2019-04-12-01_TIMNA1.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\Maps\מסלולי אופניים\offroad-סינגל חניתה.gpx,C:\Users\yairr\GPX_files\offroad-סינגל חניתה.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\Maps\מסלולי אופניים\אילת השחר -ריחניה-דישון-אילת השחר.gpx,C:\Users\yairr\GPX_files\אילת השחר -ריחניה-דישון-אילת השחר.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\Maps\מסלולי אופניים\tlv.gpx,C:\Users\yairr\GPX_files\tlv.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\Maps\מסלולי אופניים\yarkon4a.gpx,C:\Users\yairr\GPX_files\yarkon4a.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\Maps\מסלולי אופניים\בין שדה בוקר לעובדת רז גורן.gpx,C:\Users\yairr\GPX_files\בין שדה בוקר לעובדת רז גורן.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\Maps\מסלולי אופניים\געתון כזיב אכזיב.gpx,C:\Users\yairr\GPX_files\געתון כזיב אכזיב.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\Maps\מסלולי אופניים\יהל 1.gpx,C:\Users\yairr\GPX_files\יהל 1.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\Maps\מסלולי אופניים\יער לביא והר טורעאן.gpx,C:\Users\yairr\GPX_files\יער לביא והר טורעאן.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\Maps\מסלולי אופניים\מחצבה לנוה זוהר.gpx,C:\Users\yairr\GPX_files\מחצבה לנוה זוהר.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\Maps\מסלולי אופניים\מעלות עין זיו.gpx,C:\Users\yairr\GPX_files\מעלות עין זיו.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\Maps\מסלולי אופניים\נחל רחף הלוך וחזור.gpx,C:\Users\yairr\GPX_files\נחל רחף הלוך וחזור.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\Maps\מסלולי אופניים\סינגל אחיהוד התחלה בטל אל.GPX,C:\Users\yairr\GPX_files\סינגל אחיהוד התחלה בטל אל.GPX,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\Maps\מסלולי אופניים\סינגל גבעת המורה 1.gpx,C:\Users\yairr\GPX_files\סינגל גבעת המורה 1.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\Maps\מסלולי אופניים\סינגל חניתה 1.gpx,C:\Users\yairr\GPX_files\סינגל חניתה 1.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\Maps\מסלולי אופניים\סינגל רמים הרי נפתלי.GPX,C:\Users\yairr\GPX_files\סינגל רמים הרי נפתלי.GPX,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\Maps\מסלולי אופניים\ערד שפך זוהר.gpx,C:\Users\yairr\GPX_files\ערד שפך זוהר.gpx,הועבר,
