שם מקורי,שם חדש,סטטוס,הערה
0000-00-00_אבירים.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_איילת השחר_דלתון_סאסא_דישון_שדה אליעזר.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_איילת השחר_יראון_שדה אליעזר.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_אילות_אילת.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_אילנייה_מצפה נטופה_רומאנה_טורעאן_גבעת אבני.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_אילת_אחוזם_מג'דל שמס_זכרון יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_אילת_אליפז.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_אילת_מצפה רמון_עין גדי.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_אלונים_שער העמקים_רמת ישי.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_אלי-עד_חספין_נטור.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_אליפז_אילת.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_אפיק_מבוא חמה.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_בארי.GPX,,לא שונה - כבר יש שם משמעותי,
0000-00-00_בארי_1.GPX,,לא שונה - כבר יש שם משמעותי,
0000-00-00_בארי_רעים.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_בארי_רעים_עין השלושה_רעים.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_בארי_רעים_עין השלושה_רעים_1.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_בודפשט_2.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_בודפשט_3.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_בית אורן_יגור.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_בית אורן_עין הוד.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_בית ג'ן_שפר_עין אל-אסד.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_בית גוברין_להב_כסיפה.GPX,,לא שונה - כבר יש שם משמעותי,
0000-00-00_בית חנניה_שדות ים.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_בני יהודה_תל קציר.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_בר יוחאי_חורפיש.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_ברקאי_כפר ויתקין_תל אביב -יפו_פתח תקווה_עינת.GPX,,לא שונה - כבר יש שם משמעותי,
0000-00-00_גורנות הגליל_אדמית_אילון.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_גילון_נחף_פלך.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_געתון_3.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_געתון_אל -רום.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_געתון_גבע כרמל.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_געתון_גשר הזיו.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_געתון_כברי_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_געתון_כרמי יוסף_בית גוברין.GPX,,לא שונה - כבר יש שם משמעותי,
0000-00-00_געתון_מתת.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_געתון_נווה ירק_גבעת השלושה.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_געתון_נשר.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_געתון_עין יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_געתון_עין יעקב_1.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_געתון_קשת_תל קציר.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_געתון_שמרת.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_גשר_בלפוריה_ברקאי.GPX,,לא שונה - כבר יש שם משמעותי,
0000-00-00_דימונה_שדה בוקר_מצפה רמון.GPX,,לא שונה - כבר יש שם משמעותי,
0000-00-00_דלתון_כפר שמאי.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_דלתון_מירון.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_דן_אלמגור_גשר.GPX,,לא שונה - כבר יש שם משמעותי,
0000-00-00_הגושרים_כפר בלום_דפנה.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_הררית.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_וינה_1.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_חורפיש_כפר שמאי_חורפיש.gpx,,לא שונה - כבר יש שם משמעותי,
