מספר מסלול,שם קובץ,סוג נקודה,קואורדינטות,lat,lon
1,2013-04-13_געתון_עין יעקב.gpx,התחלה,"(33.015820, 35.203000)",33.01582,35.203
1,2013-04-13_געתון_עין יעקב.gpx,סיום,"(33.015850, 35.203320)",33.01585,35.20332
4,2013-04-18_טבריה_מגדל_כפר חיטים.gpx,התחלה,"(32.788020, 35.541580)",32.78802,35.54158
4,2013-04-18_טבריה_מגדל_כפר חיטים.gpx,סיום,"(32.787450, 35.542400)",32.78745,35.5424
5,2013-04-19_בר יוחאי_ברעם.gpx,התחלה,"(32.993580, 35.414650)",32.99358,35.41465
5,2013-04-19_בר יוחאי_ברעם.gpx,סיום,"(32.995640, 35.412710)",32.99564,35.41271
6,2013-04-20_טבריה_פורייה עילית_פורייה - נווה עובד.gpx,התחלה,"(32.787970, 35.541510)",32.78797,35.54151
6,2013-04-20_טבריה_פורייה עילית_פורייה - נווה עובד.gpx,סיום,"(32.788030, 35.542370)",32.78803,35.54237
7,2013-04-26_געתון_יחיעם.gpx,התחלה,"(33.005970, 35.214750)",33.00597,35.21475
7,2013-04-26_געתון_יחיעם.gpx,סיום,"(33.005080, 35.215490)",33.00508,35.21549
8,2013-04-27_כברי_שמרת.gpx,התחלה,"(33.016530, 35.142050)",33.01653,35.14205
8,2013-04-27_כברי_שמרת.gpx,סיום,"(32.948910, 35.094630)",32.94891,35.09463
9,2013-05-04_נהרייה_כפר ראש הנקרה_סער.gpx,התחלה,"(33.013510, 35.090050)",33.01351,35.09005
9,2013-05-04_נהרייה_כפר ראש הנקרה_סער.gpx,סיום,"(33.013530, 35.090050)",33.01353,35.09005
10,2013-05-11_יחיעם_נווה זיו_עין יעקב.gpx,התחלה,"(33.005000, 35.215470)",33.005,35.21547
10,2013-05-11_יחיעם_נווה זיו_עין יעקב.gpx,סיום,"(33.005020, 35.215470)",33.00502,35.21547
11,2013-05-14_יחיעם_מעונה_עין יעקב.gpx,התחלה,"(33.005060, 35.215430)",33.00506,35.21543
11,2013-05-14_יחיעם_מעונה_עין יעקב.gpx,סיום,"(33.005060, 35.215510)",33.00506,35.21551
12,2013-05-17_יחיעם_נהרייה.gpx,התחלה,"(33.005140, 35.215570)",33.00514,35.21557
12,2013-05-17_יחיעם_נהרייה.gpx,סיום,"(33.007050, 35.092280)",33.00705,35.09228
13,2013-06-06_געתון_נווה זיו_יחיעם.gpx,התחלה,"(33.005330, 35.214400)",33.00533,35.2144
13,2013-06-06_געתון_נווה זיו_יחיעם.gpx,סיום,"(33.005070, 35.215540)",33.00507,35.21554
14,2013-06-08_יחיעם_בוסתן הגליל_שמרת.gpx,התחלה,"(33.004940, 35.215450)",33.00494,35.21545
14,2013-06-08_יחיעם_בוסתן הגליל_שמרת.gpx,סיום,"(32.948730, 35.094490)",32.94873,35.09449
15,2013-06-12_נהרייה_כפר ראש הנקרה_סער.gpx,התחלה,"(33.001480, 35.089410)",33.00148,35.08941
15,2013-06-12_נהרייה_כפר ראש הנקרה_סער.gpx,סיום,"(32.999270, 35.086180)",32.99927,35.08618
16,2013-06-14_יחיעם_נהרייה.gpx,התחלה,"(33.005050, 35.215420)",33.00505,35.21542
16,2013-06-14_יחיעם_נהרייה.gpx,סיום,"(33.007240, 35.090690)",33.00724,35.09069
17,2013-06-15_שבי ציון_כפר ראש הנקרה_מזרעה.gpx,התחלה,"(32.990640, 35.083820)",32.99064,35.08382
17,2013-06-15_שבי ציון_כפר ראש הנקרה_מזרעה.gpx,סיום,"(32.990570, 35.083760)",32.99057,35.08376
18,2013-06-19_כברי_חניתה_מצובה.gpx,התחלה,"(33.018440, 35.142680)",33.01844,35.14268
18,2013-06-19_כברי_חניתה_מצובה.gpx,סיום,"(33.018450, 35.142720)",33.01845,35.14272
19,2013-06-21_יחיעם_כפר ראש הנקרה.gpx,התחלה,"(33.004560, 35.216560)",33.00456,35.21656
19,2013-06-21_יחיעם_כפר ראש הנקרה.gpx,סיום,"(33.074940, 35.116490)",33.07494,35.11649
20,2013-06-25_יחיעם_מעונה_עין יעקב.gpx,התחלה,"(33.005060, 35.215480)",33.00506,35.21548
20,2013-06-25_יחיעם_מעונה_עין יעקב.gpx,סיום,"(33.005140, 35.215420)",33.00514,35.21542
21,2013-06-26_יחיעם_נווה זיו_עין יעקב.gpx,התחלה,"(33.004960, 35.215690)",33.00496,35.21569
21,2013-06-26_יחיעם_נווה זיו_עין יעקב.gpx,סיום,"(33.005030, 35.215490)",33.00503,35.21549
22,2013-06-29_יחיעם_גשר הזיו.gpx,התחלה,"(33.005090, 35.215370)",33.00509,35.21537
22,2013-06-29_יחיעם_גשר הזיו.gpx,סיום,"(33.047320, 35.103190)",33.04732,35.10319
24,2013-07-08_יחיעם_מעונה_געתון.gpx,התחלה,"(33.004900, 35.215200)",33.0049,35.2152
24,2013-07-08_יחיעם_מעונה_געתון.gpx,סיום,"(33.005050, 35.215550)",33.00505,35.21555
25,2013-07-10_יחיעם_מעונה_געתון.gpx,התחלה,"(33.005090, 35.215370)",33.00509,35.21537
25,2013-07-10_יחיעם_מעונה_געתון.gpx,סיום,"(33.005040, 35.215480)",33.00504,35.21548
26,2013-07-12_יחיעם_כפר ראש הנקרה_נהרייה.gpx,התחלה,"(33.005070, 35.215440)",33.00507,35.21544
26,2013-07-12_יחיעם_כפר ראש הנקרה_נהרייה.gpx,סיום,"(33.013510, 35.090080)",33.01351,35.09008
27,2013-07-13_יחיעם_נווה זיו_מעיליא.gpx,התחלה,"(33.004970, 35.215270)",33.00497,35.21527
27,2013-07-13_יחיעם_נווה זיו_מעיליא.gpx,סיום,"(33.024950, 35.254190)",33.02495,35.25419
28,2013-07-15_יחיעם_מנות_שבי ציון.gpx,התחלה,"(33.005060, 35.215460)",33.00506,35.21546
28,2013-07-15_יחיעם_מנות_שבי ציון.gpx,סיום,"(32.981720, 35.085160)",32.98172,35.08516
29,2013-07-19_יחיעם_כברי_געתון.gpx,התחלה,"(33.005040, 35.215500)",33.00504,35.2155
29,2013-07-19_יחיעם_כברי_געתון.gpx,סיום,"(33.005000, 35.215430)",33.005,35.21543
30,2013-07-20_יחיעם_כברי.gpx,התחלה,"(33.005030, 35.215360)",33.00503,35.21536
30,2013-07-20_יחיעם_כברי.gpx,סיום,"(33.041750, 35.147770)",33.04175,35.14777
31,2013-07-24_יחיעם_מעונה_עין יעקב.gpx,התחלה,"(33.005110, 35.215490)",33.00511,35.21549
31,2013-07-24_יחיעם_מעונה_עין יעקב.gpx,סיום,"(33.005050, 35.215540)",33.00505,35.21554
32,2013-07-25_יחיעם_חניתה_נווה זיו.gpx,התחלה,"(33.005110, 35.215470)",33.00511,35.21547
32,2013-07-25_יחיעם_חניתה_נווה זיו.gpx,סיום,"(33.015180, 35.171180)",33.01518,35.17118
34,2013-07-27_יחיעם_כברי.gpx,התחלה,"(33.004910, 35.215680)",33.00491,35.21568
34,2013-07-27_יחיעם_כברי.gpx,סיום,"(33.016420, 35.144050)",33.01642,35.14405
35,2013-07-30_יחיעם_מעונה_עין יעקב.gpx,התחלה,"(33.004940, 35.215470)",33.00494,35.21547
35,2013-07-30_יחיעם_מעונה_עין יעקב.gpx,סיום,"(33.005030, 35.215510)",33.00503,35.21551
36,2013-08-01_יחיעם_מעונה_געתון.gpx,התחלה,"(33.005030, 35.215510)",33.00503,35.21551
36,2013-08-01_יחיעם_מעונה_געתון.gpx,סיום,"(33.005040, 35.215470)",33.00504,35.21547
37,2013-08-03_געתון_כברי_יחיעם.gpx,התחלה,"(33.006200, 35.214870)",33.0062,35.21487
37,2013-08-03_געתון_כברי_יחיעם.gpx,סיום,"(33.005020, 35.215480)",33.00502,35.21548
38,2013-08-05_יחיעם_מעונה_עין יעקב.gpx,התחלה,"(33.005000, 35.215460)",33.005,35.21546
38,2013-08-05_יחיעם_מעונה_עין יעקב.gpx,סיום,"(33.005010, 35.215440)",33.00501,35.21544
39,2013-08-07_יחיעם_געתון_עין יעקב.gpx,התחלה,"(33.005060, 35.215470)",33.00506,35.21547
39,2013-08-07_יחיעם_געתון_עין יעקב.gpx,סיום,"(33.005070, 35.215460)",33.00507,35.21546
40,2013-08-08_יחיעם_כברי_געתון.gpx,התחלה,"(33.005170, 35.215580)",33.00517,35.21558
40,2013-08-08_יחיעם_כברי_געתון.gpx,סיום,"(33.005710, 35.210300)",33.00571,35.2103
41,2013-08-10_בארי_רעים.gpx,התחלה,"(31.428050, 34.494120)",31.42805,34.49412
41,2013-08-10_בארי_רעים.gpx,סיום,"(31.428440, 34.493870)",31.42844,34.49387
42,2013-08-12_כברי_כפר ראש הנקרה_יחיעם.gpx,התחלה,"(33.018480, 35.142490)",33.01848,35.14249
42,2013-08-12_כברי_כפר ראש הנקרה_יחיעם.gpx,סיום,"(33.005120, 35.215030)",33.00512,35.21503
43,2013-08-14_געתון_מעונה_יחיעם.gpx,התחלה,"(33.005560, 35.213640)",33.00556,35.21364
43,2013-08-14_געתון_מעונה_יחיעם.gpx,סיום,"(33.005000, 35.215510)",33.005,35.21551
44,2013-08-16_יחיעם_מצובה_כפר ראש הנקרה_נהרייה_נווה זיו.gpx,התחלה,"(33.005000, 35.215540)",33.005,35.21554
44,2013-08-16_יחיעם_מצובה_כפר ראש הנקרה_נהרייה_נווה זיו.gpx,סיום,"(33.013360, 35.174410)",33.01336,35.17441
45,2013-08-17_נווה זיו_נהרייה_יחיעם.gpx,התחלה,"(33.012030, 35.180550)",33.01203,35.18055
45,2013-08-17_נווה זיו_נהרייה_יחיעם.gpx,סיום,"(33.005040, 35.215450)",33.00504,35.21545
46,2013-08-20_געתון_כברי_נווה זיו.gpx,התחלה,"(33.008600, 35.190790)",33.0086,35.19079
46,2013-08-20_געתון_כברי_נווה זיו.gpx,סיום,"(33.006570, 35.212060)",33.00657,35.21206
47,2013-08-23_געתון_כברי_יחיעם.gpx,התחלה,"(33.006530, 35.209340)",33.00653,35.20934
47,2013-08-23_געתון_כברי_יחיעם.gpx,סיום,"(33.005050, 35.215450)",33.00505,35.21545
48,2013-08-24_געתון_שייח' דנון_שבי ציון_גשר הזיו_יחיעם.gpx,התחלה,"(33.002270, 35.208940)",33.00227,35.20894
48,2013-08-24_געתון_שייח' דנון_שבי ציון_גשר הזיו_יחיעם.gpx,סיום,"(33.005030, 35.215470)",33.00503,35.21547
49,2013-08-26_הילה_עין יעקב_מעיליא.gpx,התחלה,"(33.035190, 35.240520)",33.03519,35.24052
49,2013-08-26_הילה_עין יעקב_מעיליא.gpx,סיום,"(33.034530, 35.246740)",33.03453,35.24674
51,2013-08-29_יחיעם_מעונה_עין יעקב.gpx,התחלה,"(33.004880, 35.215720)",33.00488,35.21572
51,2013-08-29_יחיעם_מעונה_עין יעקב.gpx,סיום,"(33.005030, 35.215490)",33.00503,35.21549
52,2013-08-30_יחיעם_כברי_עין יעקב.gpx,התחלה,"(33.004980, 35.215460)",33.00498,35.21546
52,2013-08-30_יחיעם_כברי_עין יעקב.gpx,סיום,"(33.005050, 35.215510)",33.00505,35.21551
53,2013-09-03_מעונה_אבירים_מעיליא.gpx,התחלה,"(33.018010, 35.261000)",33.01801,35.261
53,2013-09-03_מעונה_אבירים_מעיליא.gpx,סיום,"(33.017910, 35.261360)",33.01791,35.26136
54,2013-09-04_יחיעם_שייח' דנון_עין יעקב.gpx,התחלה,"(33.004970, 35.215660)",33.00497,35.21566
54,2013-09-04_יחיעם_שייח' דנון_עין יעקב.gpx,סיום,"(33.005040, 35.215500)",33.00504,35.2155
55,2013-09-05_יחיעם_געתון.gpx,התחלה,"(33.005050, 35.215390)",33.00505,35.21539
55,2013-09-05_יחיעם_געתון.gpx,סיום,"(33.015510, 35.199170)",33.01551,35.19917
56,2013-09-07_יחיעם_געתון_שבי ציון_מזרעה.gpx,התחלה,"(33.004960, 35.215510)",33.00496,35.21551
56,2013-09-07_יחיעם_געתון_שבי ציון_מזרעה.gpx,סיום,"(32.986340, 35.096110)",32.98634,35.09611
58,2013-09-10_נהרייה_עכו_מזרעה.gpx,התחלה,"(33.007210, 35.088320)",33.00721,35.08832
58,2013-09-10_נהרייה_עכו_מזרעה.gpx,סיום,"(33.007210, 35.088340)",33.00721,35.08834
59,2013-09-12_יחיעם_מעיליא_געתון.gpx,התחלה,"(33.005120, 35.215540)",33.00512,35.21554
59,2013-09-12_יחיעם_מעיליא_געתון.gpx,סיום,"(33.004990, 35.215500)",33.00499,35.2155
60,2013-09-13_געתון_כברי_יחיעם.gpx,התחלה,"(33.006340, 35.207680)",33.00634,35.20768
60,2013-09-13_געתון_כברי_יחיעם.gpx,סיום,"(33.005010, 35.215510)",33.00501,35.21551
61,2013-09-14_יחיעם_מזרעה_קריית ים_בוסתן הגליל_נווה זיו.gpx,התחלה,"(33.004890, 35.215650)",33.00489,35.21565
61,2013-09-14_יחיעם_מזרעה_קריית ים_בוסתן הגליל_נווה זיו.gpx,סיום,"(33.015200, 35.171150)",33.0152,35.17115
62,2013-09-18_יחיעם_אבירים_נהרייה.gpx,התחלה,"(33.005050, 35.215500)",33.00505,35.2155
62,2013-09-18_יחיעם_אבירים_נהרייה.gpx,סיום,"(33.006490, 35.092680)",33.00649,35.09268
63,2013-09-19_יחיעם_מעיליא_געתון.gpx,התחלה,"(33.004690, 35.215470)",33.00469,35.21547
63,2013-09-19_יחיעם_מעיליא_געתון.gpx,סיום,"(33.005050, 35.215520)",33.00505,35.21552
64,2013-09-20_כברי_גורן_מצובה.gpx,התחלה,"(33.018170, 35.142650)",33.01817,35.14265
64,2013-09-20_כברי_גורן_מצובה.gpx,סיום,"(33.018390, 35.142730)",33.01839,35.14273
65,2013-09-21_געתון_כברי_כפר ראש הנקרה_מזרעה_יחיעם.gpx,התחלה,"(33.006470, 35.209310)",33.00647,35.20931
65,2013-09-21_געתון_כברי_כפר ראש הנקרה_מזרעה_יחיעם.gpx,סיום,"(33.004510, 35.207460)",33.00451,35.20746
66,2013-09-23_געתון_מעונה_יחיעם.gpx,התחלה,"(33.006530, 35.211990)",33.00653,35.21199
66,2013-09-23_געתון_מעונה_יחיעם.gpx,סיום,"(33.005060, 35.215540)",33.00506,35.21554
67,2013-09-25_יחיעם_מעיליא_געתון.gpx,התחלה,"(33.005190, 35.215370)",33.00519,35.21537
67,2013-09-25_יחיעם_מעיליא_געתון.gpx,סיום,"(33.005020, 35.215490)",33.00502,35.21549
68,2013-09-26_עין יעקב_כברי_יחיעם.gpx,התחלה,"(33.007660, 35.235660)",33.00766,35.23566
68,2013-09-26_עין יעקב_כברי_יחיעם.gpx,סיום,"(33.005020, 35.215480)",33.00502,35.21548
69,2013-09-27_גילון_טל-אל_פלך.gpx,התחלה,"(32.915660, 35.226950)",32.91566,35.22695
69,2013-09-27_גילון_טל-אל_פלך.gpx,סיום,"(32.915830, 35.226700)",32.91583,35.2267
70,2013-09-28_געתון_נתיב השיירה_שבי ציון_נווה זיו_יחיעם.gpx,התחלה,"(33.006230, 35.205440)",33.00623,35.20544
70,2013-09-28_געתון_נתיב השיירה_שבי ציון_נווה זיו_יחיעם.gpx,סיום,"(33.005060, 35.215360)",33.00506,35.21536
71,2013-10-01_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005010, 35.215550)",33.00501,35.21555
71,2013-10-01_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005030, 35.215510)",33.00503,35.21551
72,2013-10-02_געתון_מעיליא_יחיעם.gpx,התחלה,"(33.006430, 35.210610)",33.00643,35.21061
72,2013-10-02_געתון_מעיליא_יחיעם.gpx,סיום,"(33.005010, 35.215490)",33.00501,35.21549
73,2013-10-04_חד-נס_גונן_כפר גלעדי.gpx,התחלה,"(32.916450, 35.632380)",32.91645,35.63238
73,2013-10-04_חד-נס_גונן_כפר גלעדי.gpx,סיום,"(33.239200, 35.575930)",33.2392,35.57593
74,2013-10-06_געתון_מעונה_יחיעם.gpx,התחלה,"(33.006470, 35.211980)",33.00647,35.21198
74,2013-10-06_געתון_מעונה_יחיעם.gpx,סיום,"(33.005030, 35.215470)",33.00503,35.21547
75,2013-10-06_יחיעם_עין יעקב_געתון.gpx,התחלה,"(33.005010, 35.215470)",33.00501,35.21547
75,2013-10-06_יחיעם_עין יעקב_געתון.gpx,סיום,"(33.005040, 35.215530)",33.00504,35.21553
76,2013-10-09_יחיעם_געתון.gpx,התחלה,"(33.005250, 35.215400)",33.00525,35.2154
76,2013-10-09_יחיעם_געתון.gpx,סיום,"(33.005030, 35.215530)",33.00503,35.21553
77,2013-10-11_יחיעם_כפר ראש הנקרה_נהרייה.gpx,התחלה,"(33.005030, 35.215440)",33.00503,35.21544
77,2013-10-11_יחיעם_כפר ראש הנקרה_נהרייה.gpx,סיום,"(33.007390, 35.090800)",33.00739,35.0908
78,2013-10-12_געתון_הילה_כפר ראש הנקרה_מזרעה_שמרת.gpx,התחלה,"(33.006520, 35.209240)",33.00652,35.20924
78,2013-10-12_געתון_הילה_כפר ראש הנקרה_מזרעה_שמרת.gpx,סיום,"(32.949040, 35.094580)",32.94904,35.09458
79,2015-07-06_געתון_יחיעם.gpx,התחלה,"(33.005888, 35.215047)",33.0058877,35.2150471
79,2015-07-06_געתון_יחיעם.gpx,סיום,"(33.005029, 35.215489)",33.0050292,35.2154886
80,2015-12-03_געתון_מעונה_יחיעם.gpx,התחלה,"(33.008499, 35.191275)",33.0084985,35.1912754
80,2015-12-03_געתון_מעונה_יחיעם.gpx,סיום,"(33.005029, 35.215476)",33.0050294,35.2154762
81,2015-12-04_כפר מסריק_הרדוף_כפר יהושע_קריית אתא_עין המפרץ.gpx,התחלה,"(32.896808, 35.093817)",32.8968076,35.0938173
81,2015-12-04_כפר מסריק_הרדוף_כפר יהושע_קריית אתא_עין המפרץ.gpx,סיום,"(32.901250, 35.091905)",32.9012496,35.0919051
82,2016-09-09_אלונים_שער העמקים_רמת ישי.gpx,התחלה,"(32.709427, 35.144008)",32.709427,35.144008
82,2016-09-09_אלונים_שער העמקים_רמת ישי.gpx,סיום,"(32.709434, 35.144056)",32.709434,35.144056
83,2017-06-20_תל אביב -יפו_בני ברק.gpx,התחלה,"(32.095094, 34.788463)",32.095094,34.788463
83,2017-06-20_תל אביב -יפו_בני ברק.gpx,סיום,"(32.095066, 34.788477)",32.095066,34.788477
84,2019-04-12_אליפז.gpx,התחלה,"(29.787442, 34.989019)",29.787442,34.989019
84,2019-04-12_אליפז.gpx,סיום,"(29.787438, 34.989105)",29.787438,34.989105
85,2021-07-26_יחיעם_געתון.gpx,התחלה,"(33.005060, 35.215290)",33.00506,35.21529
85,2021-07-26_יחיעם_געתון.gpx,סיום,"(33.004960, 35.215300)",33.00496,35.2153
86,2021-07-29_יחיעם_געתון.gpx,התחלה,"(33.005060, 35.215510)",33.00506,35.21551
86,2021-07-29_יחיעם_געתון.gpx,סיום,"(33.005010, 35.215460)",33.00501,35.21546
87,2021-08-01_יחיעם_געתון.gpx,התחלה,"(33.005060, 35.215550)",33.00506,35.21555
87,2021-08-01_יחיעם_געתון.gpx,סיום,"(33.005060, 35.215450)",33.00506,35.21545
88,2021-08-03_יחיעם_געתון.gpx,התחלה,"(33.005070, 35.215490)",33.00507,35.21549
88,2021-08-03_יחיעם_געתון.gpx,סיום,"(33.005060, 35.215550)",33.00506,35.21555
89,2021-08-04_יחיעם_געתון.gpx,התחלה,"(33.005050, 35.215480)",33.00505,35.21548
89,2021-08-04_יחיעם_געתון.gpx,סיום,"(33.005030, 35.215480)",33.00503,35.21548
90,2021-08-06_יחיעם_געתון.gpx,התחלה,"(33.005030, 35.215460)",33.00503,35.21546
90,2021-08-06_יחיעם_געתון.gpx,סיום,"(33.005010, 35.215460)",33.00501,35.21546
94,2021-09-05_יחיעם_כליל_געתון.gpx,התחלה,"(33.005050, 35.215511)",33.0050504,35.2155114
