קטגוריה,מזהה א',קובץ א',מזהה ב',קובץ ב',verdict/יחס,הפוך?,הפרש אורך %,מרחק-קצה 1 (מ'),מרחק-קצה 2 (מ'),סטיית-דגימה ממוצעת (מ'),סטיית-דגימה מקס' (מ'),אחוז-מעבר
הכלה,691,תכ_חורבת רקית חניון נחל אורן תחתון.gpx,563,Israel National Trail-24-05-26.gpx,מוכל-ב,,,,,19.8,72.8,1
הכלה,684,שביל ישראל מקטע 1.gpx,563,Israel National Trail-24-05-26.gpx,מוכל-ב,,,,,7.6,113.6,1
הכלה,641,מסלול הר יזרח נוה זוהר.gpx,684,שביל ישראל מקטע 1.gpx,מוכל-ב,,,,,28.5,320.7,0.939
חשוד,614,טיול מדרגות בעליה 2.gpx,616,טיול מדרגות חיפה בעליה.gpx,חשוד - לבדיקה ידנית,FALSE,3,0,0,13.3,100,1
הכלה,608,חזור_נמרוד_בניאס.gpx,678,קלעת נמרוד שניר 2025-07-06.gpx,מוכל-ב,,,,,23.9,89.2,1
חשוד,593,געתון הר בטח געתון 2.gpx,594,געתון הר בטח געתון.gpx,חשוד - לבדיקה ידנית,FALSE,2.8,0,0,37.1,346.5,0.868
הכלה,585,בארי שוקדה.gpx,584,בארי שוקדה עם קיצורים.gpx,מוכל-ב,,,,,0,11.5,1
הכלה,579,אמפי גולן - מבוא חמה.gpx,683,שביל הגולן.gpx,מוכל-ב,,,,,5.7,15.2,1
הכלה,574,offroad-סינגל חניתה.gpx,532,2026-07-03 סינגל חניתה.gpx,מוכל-ב,,,,,48,571.5,0.914
הכלה,557,2026-08-14_געתון_כברי.gpx,239,2022-08-14_געתון_כברי_לימן.gpx,מוכל-ב,,,,,12.1,22.8,1
הכלה,557,2026-08-14_געתון_כברי.gpx,227,2022-07-15_געתון_כברי_לימן.gpx,מוכל-ב,,,,,9.8,22.6,1
הכלה,557,2026-08-14_געתון_כברי.gpx,211,2022-06-15_געתון_כברי_לימן.gpx,מוכל-ב,,,,,26.9,208.8,0.948
הכלה,557,2026-08-14_געתון_כברי.gpx,241,2022-08-19_געתון_כברי_לימן.gpx,מוכל-ב,,,,,14,25,1
הכלה,557,2026-08-14_געתון_כברי.gpx,206,2022-06-04_געתון_כברי_נהרייה.gpx,מוכל-ב,,,,,10.5,30.1,1
הכלה,557,2026-08-14_געתון_כברי.gpx,226,2022-07-11_געתון_כברי_כפר ראש הנקרה.gpx,מוכל-ב,,,,,12.1,24,1
הכלה,557,2026-08-14_געתון_כברי.gpx,558,2026-08-14_געתון_כברי_מצובה.gpx,מוכל-ב,,,,,5.3,14.8,1
הכלה,557,2026-08-14_געתון_כברי.gpx,280,2022-12-23_געתון_כברי_לימן.gpx,מוכל-ב,,,,,12.7,33.8,1
הכלה,556,2026-08-14_בצת_לימן_שלומי.gpx,558,2026-08-14_געתון_כברי_מצובה.gpx,מוכל-ב,,,,,12.8,91.4,1
הכלה,554,2026-08-11_גורן גדול.gpx,526,2026-06-20  כברי ערמשאה שתולה גורן .gpx,מוכל-ב,,,,,63.7,829.3,0.924
הכלה,554,2026-08-11_גורן גדול.gpx,527,2026-06-20_שומרה_גורנות הגליל_כברי.gpx,מוכל-ב,,,,,62.5,826.4,0.929
הכלה,553,2026-08-09_יחיעם_עין יעקב.gpx,555,2026-08-13_יחיעם_געתון_עין יעקב.gpx,מוכל-ב,,,,,17.1,24.2,1
הכלה,553,2026-08-09_יחיעם_עין יעקב.gpx,552,2026-08-09_יחיעם_געתון_עין יעקב.gpx,מוכל-ב,,,,,12.4,24,1
הכלה,553,2026-08-09_יחיעם_עין יעקב.gpx,531,2026-07-01 סינגל_יחיעם_עליון.gpx,מוכל-ב,,,,,12.7,45.7,1
הכלה,553,2026-08-09_יחיעם_עין יעקב.gpx,221,2022-07-02_יחיעם_געתון_עין יעקב.gpx,מוכל-ב,,,,,17,24.2,1
הכלה,553,2026-08-09_יחיעם_עין יעקב.gpx,474,2026-02-06_יחיעם_געתון_עין יעקב.gpx,מוכל-ב,,,,,10.7,23.8,1
הכלה,552,2026-08-09_יחיעם_געתון_עין יעקב.gpx,555,2026-08-13_יחיעם_געתון_עין יעקב.gpx,מוכל-ב,,,,,29.9,327,0.932
הכלה,550,2026-08-08_געתון_כברי_מנות.gpx,551,2026-08-08_מנות_כברי_הילה.gpx,מוכל-ב,,,,,13.3,25,1
הכלה,549,2026-08-01_הילה_מנות_מעיליא.gpx,62,2013-09-18_געתון_מעיליא_מנות.gpx,מוכל-ב,,,,,61.8,392.2,0.902
הכלה,548,2026-07-30_עין יעקב_יחיעם_געתון.gpx,476,2026-02-13_עין יעקב_געתון.gpx,מוכל-ב,,,,,33.8,141.9,0.933
הכלה,548,2026-07-30_עין יעקב_יחיעם_געתון.gpx,547,2026-07-30_06-19-24_fi_EF2EA3AB-B22D-4FEF-A61B-A6DEA644C568.gpx,מוכל-ב,,,,,13.2,21.6,1
הכלה,548,2026-07-30_עין יעקב_יחיעם_געתון.gpx,545,2026-07-24_עין יעקב_נווה זיו_געתון.gpx,מוכל-ב,,,,,25.6,178,0.933
הכלה,548,2026-07-30_עין יעקב_יחיעם_געתון.gpx,559,2026-08-15_עין יעקב_הילה_געתון.gpx,מוכל-ב,,,,,16.8,34.6,1
הכלה,548,2026-07-30_עין יעקב_יחיעם_געתון.gpx,512,2026-05-27_עין יעקב_געתון.gpx,מוכל-ב,,,,,34.9,144.6,0.933
זהה,547,2026-07-30_06-19-24_fi_EF2EA3AB-B22D-4FEF-A61B-A6DEA644C568.gpx,559,2026-08-15_עין יעקב_הילה_געתון.gpx,זהה,TRUE,1.7,7.6,46.1,29.2,444.1,0.972
הכלה,541,2026-07-14_שבי ציון_כברי_נהרייה.gpx,452,2025-10-01_שבי ציון_כברי_נהרייה.gpx,מוכל-ב,,,,,24.3,298.4,0.984
