שם ישן,שם חדש,השתנה?,הערה
0000-00-00_אבירים.gpx,0000-00-00_אבירים.gpx,False,
0000-00-00_איילת השחר_דלתון_סאסא_דישון_שדה אליעזר.gpx,0000-00-00_איילת השחר_דלתון_סאסא_דישון_שדה אליעזר.gpx,False,
0000-00-00_איילת השחר_יראון_שדה אליעזר.gpx,0000-00-00_איילת השחר_יראון_שדה אליעזר.gpx,False,
0000-00-00_אילות_אילת.gpx,0000-00-00_אילות_אילת.gpx,False,
0000-00-00_אילנייה_מצפה נטופה_רומאנה_טורעאן_גבעת אבני.gpx,0000-00-00_אילנייה_מצפה נטופה_רומאנה_טורעאן_גבעת אבני.gpx,False,
0000-00-00_אילת_אחוזם_מג'דל שמס_זכרון יעקב.gpx,0000-00-00_אילת_אחוזם_מג'דל שמס_זכרון יעקב.gpx,False,
0000-00-00_אילת_אליפז.gpx,0000-00-00_אילת_אליפז.gpx,False,
0000-00-00_אילת_מצפה רמון_עין גדי.gpx,0000-00-00_אילת_מצפה רמון_עין גדי.gpx,False,
0000-00-00_אלוני הבשן.gpx,0000-00-00_פוקהרה.gpx,True,
0000-00-00_אלוני הבשן_1.gpx,0000-00-00_פוקהרה_1.gpx,True,
0000-00-00_אלונים_שער העמקים_רמת ישי.gpx,0000-00-00_אלונים_שער העמקים_רמת ישי.gpx,False,
0000-00-00_אלי-עד_חספין_נטור.gpx,0000-00-00_אלי-עד_חספין_נטור.gpx,False,
0000-00-00_אליפז_אילת.gpx,0000-00-00_אליפז_אילת.gpx,False,
0000-00-00_אפיק_מבוא חמה.gpx,0000-00-00_אפיק_מבוא חמה.gpx,False,
0000-00-00_בארי.GPX,0000-00-00_בארי.GPX,False,
0000-00-00_בארי_1.GPX,0000-00-00_בארי_1.GPX,False,
0000-00-00_בארי_רעים.gpx,0000-00-00_בארי_רעים.gpx,False,
0000-00-00_בארי_רעים_עין השלושה_רעים.gpx,0000-00-00_בארי_רעים_עין השלושה_רעים.gpx,False,
0000-00-00_בארי_רעים_עין השלושה_רעים_1.gpx,0000-00-00_בארי_רעים_עין השלושה_רעים_1.gpx,False,
0000-00-00_בית אורן_יגור.gpx,0000-00-00_בית אורן_יגור.gpx,False,
0000-00-00_בית אורן_נשר.gpx,0000-00-00_געתון_נשר.gpx,True,
0000-00-00_בית אורן_עין הוד.gpx,0000-00-00_בית אורן_עין הוד.gpx,False,
0000-00-00_בית ג'ן_שפר_עין אל-אסד.gpx,0000-00-00_בית ג'ן_שפר_עין אל-אסד.gpx,False,
0000-00-00_בית גוברין_להב_כסיפה.GPX,0000-00-00_בית גוברין_להב_כסיפה.GPX,False,
0000-00-00_בית חנניה_שדות ים.gpx,0000-00-00_בית חנניה_שדות ים.gpx,False,
0000-00-00_בני ברק_נווה ירק_גבעת השלושה.gpx,0000-00-00_געתון_נווה ירק_גבעת השלושה.gpx,True,
0000-00-00_בני יהודה_תל קציר.gpx,0000-00-00_בני יהודה_תל קציר.gpx,False,
0000-00-00_בר יוחאי_חורפיש.gpx,0000-00-00_בר יוחאי_חורפיש.gpx,False,
0000-00-00_ברעם_כפר שמאי_חורפיש.gpx,0000-00-00_חורפיש_כפר שמאי_חורפיש.gpx,True,
0000-00-00_ברעם_מירון.gpx,0000-00-00_חורפיש_מירון.gpx,True,
0000-00-00_ברעם_מירון_1.gpx,0000-00-00_חורפיש_מירון_1.gpx,True,
0000-00-00_ברעם_מירון_צבעון.gpx,0000-00-00_חורפיש_מירון_צבעון.gpx,True,
0000-00-00_ברעם_מתת.gpx,0000-00-00_געתון_מתת.gpx,True,
0000-00-00_ברקאי_כפר ויתקין_תל אביב -יפו_פתח תקווה_עינת.GPX,0000-00-00_ברקאי_כפר ויתקין_תל אביב -יפו_פתח תקווה_עינת.GPX,False,
0000-00-00_גורנות הגליל_אדמית_אילון.gpx,0000-00-00_גורנות הגליל_אדמית_אילון.gpx,False,
0000-00-00_גילון_נחף_פלך.gpx,0000-00-00_גילון_נחף_פלך.gpx,False,
0000-00-00_געתון.gpx,0000-00-00_געתון.gpx,False,
0000-00-00_געתון_עין יעקב.gpx,0000-00-00_געתון_עין יעקב.gpx,False,
0000-00-00_געתון_שמרת.gpx,0000-00-00_געתון_שמרת.gpx,False,
0000-00-00_גשר_בלפוריה_ברקאי.GPX,0000-00-00_גשר_בלפוריה_ברקאי.GPX,False,
0000-00-00_דימונה_שדה בוקר_מצפה רמון.GPX,0000-00-00_דימונה_שדה בוקר_מצפה רמון.GPX,False,
0000-00-00_דלתון_כפר שמאי.gpx,0000-00-00_דלתון_כפר שמאי.gpx,False,
0000-00-00_דלתון_מירון.gpx,0000-00-00_דלתון_מירון.gpx,False,
0000-00-00_דן_אלמגור_גשר.GPX,0000-00-00_דן_אלמגור_גשר.GPX,False,
0000-00-00_הגושרים_כפר בלום_דפנה.gpx,0000-00-00_הגושרים_כפר בלום_דפנה.gpx,False,
0000-00-00_הילה_גורן.gpx,0000-00-00_מצפה הילה_גורן.gpx,True,
0000-00-00_הילה_גורן_1.gpx,0000-00-00_מצפה הילה_גורן_1.gpx,True,
0000-00-00_הילה_כברי_יסעור_לבון_מעיליא.gpx,0000-00-00_מצפה הילה_כברי_יסעור_לבון_מעיליא.gpx,True,
0000-00-00_הילה_עבדון.gpx,0000-00-00_מצפה הילה_עבדון.gpx,True,
0000-00-00_הילה_עבדון_1.gpx,0000-00-00_מצפה הילה_עבדון_1.gpx,True,
0000-00-00_הילה_עבדון_2.gpx,0000-00-00_מצפה הילה_עבדון_2.gpx,True,
0000-00-00_הררית.gpx,0000-00-00_הררית.gpx,False,
0000-00-00_חיפה.gpx,0000-00-00_חיפה.gpx,False,
0000-00-00_חיפה_1.gpx,0000-00-00_חיפה_1.gpx,False,
0000-00-00_חיפה_2.gpx,0000-00-00_חיפה_2.gpx,False,
0000-00-00_חיפה_3.gpx,0000-00-00_געתון_3.gpx,True,
0000-00-00_חצבה_נאות הכיכר_נווה זוהר.gpx,0000-00-00_חצבה_נאות הכיכר_נווה זוהר.gpx,False,
0000-00-00_טל-אל_גילון_יסעור.GPX,0000-00-00_טל-אל_גילון_יסעור.GPX,False,
0000-00-00_יגור.gpx,0000-00-00_יגור.gpx,False,
0000-00-00_יגור_1.gpx,0000-00-00_יגור_1.gpx,False,
0000-00-00_יהל.gpx,0000-00-00_יהל.gpx,False,
0000-00-00_יהל_1.gpx,0000-00-00_יהל_1.gpx,False,
0000-00-00_יהל_יטבתה.gpx,0000-00-00_יהל_יטבתה.gpx,False,
0000-00-00_יהל_קטורה.gpx,0000-00-00_יהל_קטורה.gpx,False,
0000-00-00_יחיעם_כברי_געתון.gpx,0000-00-00_געתון_כברי_געתון.gpx,True,
0000-00-00_יחיעם_כליל.gpx,0000-00-00_כליל_כליל.gpx,True,
0000-00-00_יחיעם_עין יעקב.gpx,0000-00-00_געתון_עין יעקב.gpx,True,
0000-00-00_יטבתה_קטורה_נווה חריף_קטורה_גרופית.gpx,0000-00-00_יטבתה_קטורה_נווה חריף_קטורה_גרופית.gpx,False,
0000-00-00_יערה_אדמית.gpx,0000-00-00_יערה_אדמית.gpx,False,
0000-00-00_יפתח_גונן_רמות נפתלי.gpx,0000-00-00_יפתח_גונן_רמות נפתלי.gpx,False,
0000-00-00_כברי_יערה_כפר רוזנואלד (זרעית)_אילון_מצובה.gpx,0000-00-00_כברי_יערה_כפר רוזנואלד (זרעית)_אילון_מצובה.gpx,False,
0000-00-00_כברי_נווה זיו.gpx,0000-00-00_כברי_נווה זיו.gpx,False,
0000-00-00_כברי_נווה זיו_1.gpx,0000-00-00_כברי_נווה זיו_1.gpx,False,
