route,start,end
1,געתון,געתון
4,טבריה,טבריה
5,בר יוחאי,בר יוחאי
6,טבריה,טבריה
7,געתון,געתון
8,כברי,שמרת
9,נהרייה,נהרייה
10,געתון,געתון
11,געתון,געתון
12,געתון,נהרייה
13,געתון,געתון
14,געתון,שמרת
15,נהרייה,געתון
16,געתון,נהרייה
17,שבי ציון,שבי ציון
18,כברי,כברי
19,געתון,כפר ראש הנקרה
20,געתון,געתון
21,געתון,געתון
22,געתון,גשר הזיו
24,געתון,געתון
25,געתון,געתון
26,געתון,נהרייה
27,געתון,מעיליא
28,געתון,שבי ציון
29,געתון,געתון
30,געתון,כברי
31,געתון,געתון
32,געתון,נווה זיו
34,געתון,כברי
35,געתון,געתון
36,געתון,געתון
37,געתון,געתון
38,געתון,געתון
39,געתון,געתון
40,געתון,געתון
41,בארי,בארי
42,כברי,געתון
43,געתון,געתון
44,געתון,נווה זיו
45,נווה זיו,געתון
46,נווה זיו,געתון
47,געתון,געתון
48,געתון,געתון
49,מצפה הילה,מצפה הילה
51,געתון,געתון
52,געתון,געתון
53,מעונה,מעונה
54,געתון,געתון
55,געתון,געתון
56,געתון,שבי ציון
58,נהרייה,נהרייה
59,געתון,געתון
60,געתון,געתון
61,געתון,נווה זיו
62,געתון,נהרייה
63,געתון,געתון
64,כברי,כברי
65,געתון,געתון
66,געתון,געתון
67,געתון,געתון
68,עין יעקב,געתון
69,גילון,גילון
70,געתון,געתון
71,געתון,געתון
72,געתון,געתון
73,חד-נס,כפר גלעדי
74,געתון,געתון
75,געתון,געתון
76,געתון,געתון
77,געתון,נהרייה
78,געתון,שמרת
79,געתון,געתון
80,געתון,געתון
81,כפר מסריק,כפר מסריק
82,אלונים,אלונים
83,תל אביב-יפו,תל אביב-יפו
84,אליפז,אליפז
85,געתון,געתון
86,געתון,געתון
87,געתון,געתון
88,געתון,געתון
89,געתון,געתון
90,געתון,געתון
94,געתון,געתון
95,געתון,געתון
96,געתון,געתון
97,געתון,געתון
98,געתון,געתון
100,געתון,געתון
101,געתון,געתון
102,געתון,געתון
103,געתון,געתון
106,געתון,געתון
108,געתון,געתון
109,געתון,געתון
110,געתון,געתון
113,געתון,געתון
114,געתון,געתון
115,געתון,געתון
116,געתון,געתון
118,נווה זוהר,נווה זוהר
119,נווה זוהר,נווה זוהר
120,נווה זוהר,נווה זוהר
121,נווה זוהר,נווה זוהר
122,געתון,געתון
123,געתון,געתון
124,געתון,געתון
125,געתון,מעונה
126,געתון,געתון
127,געתון,געתון
129,כפר מסריק,כפר מסריק
130,געתון,געתון
131,געתון,געתון
132,געתון,געתון
133,נווה זוהר,נווה זוהר
134,נווה זוהר,נווה זוהר
135,נווה זוהר,נווה זוהר
136,נווה זוהר,נווה זוהר
137,געתון,געתון
139,געתון,געתון
141,געתון,געתון
142,געתון,געתון
145,געתון,געתון
146,געתון,געתון
147,נווה זוהר,נווה זוהר
148,נווה זוהר,נווה זוהר
149,נווה זוהר,נווה זוהר
150,געתון,געתון
151,געתון,געתון
152,געתון,געתון
